state,constituency,has_generated_note,has_manual_note,has_suggested_note,manual_confidence,data_quality_label,is_priority_seat,needs_manual_review,suggested_review_reason
Andaman & Nicobar Islands,Andaman & Nicobar Islands,True,False,True,medium,election_only,True,True,priority seat; flipped seat; manual note missing; important seat with election-only demographics
Andhra Pradesh,Amalapuram,True,False,True,medium,election_only,True,True,priority seat; flipped seat; manual note missing; important seat with election-only demographics
Andhra Pradesh,Anakapalle,True,False,True,high,high,True,True,priority seat; flipped seat; large swing; manual note missing
Andhra Pradesh,Ananthapur,True,False,True,medium,election_only,True,True,priority seat; flipped seat; manual note missing; important seat with election-only demographics
Andhra Pradesh,Araku,True,False,True,high,high,True,True,priority seat; close 2024 contest; large swing; manual note missing
Andhra Pradesh,Bapatla,True,False,True,high,high,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Chittoor,True,False,True,high,high,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Eluru,True,False,True,high,high,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Guntur,True,False,True,high,high,False,True,manual note missing
Andhra Pradesh,Hindupur,True,False,True,high,high,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Kadapa,True,False,True,medium,election_only,False,True,close 2024 contest; manual note missing
Andhra Pradesh,Kakinada,True,False,True,high,high,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Kurnoolu,True,False,True,medium,election_only,True,True,priority seat; flipped seat; manual note missing; important seat with election-only demographics
Andhra Pradesh,Machilipatnam,True,False,True,high,high,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Nandyal,True,False,True,high,high,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Narsapuram,True,False,True,high,high,True,True,priority seat; flipped seat; large swing; manual note missing
Andhra Pradesh,Narsaraopet,True,False,True,medium,election_only,True,True,priority seat; flipped seat; manual note missing; important seat with election-only demographics
Andhra Pradesh,Nellore,True,False,True,medium,low,True,True,priority seat; flipped seat; manual note missing
Andhra Pradesh,Ongole,True,False,True,high,high,True,True,priority seat; flipped seat; close 2024 contest; manual note missing
Andhra Pradesh,Rajahmundry,True,False,True,high,high,True,True,priority seat; flipped seat; large swing; manual note missing
Andhra Pradesh,Rajampet,True,False,True,medium,medium,True,True,priority seat; large swing; manual note missing
Andhra Pradesh,Srikakulam,True,False,True,high,high,False,True,manual note missing
