priority_rank,state,constituency,reason,priority_score,suggested_manual_review
1,Maharashtra,Amravati,seat_flip;top_bjp_gain;top_inc_gain,110,yes
2,Maharashtra,Bhiwandi,seat_flip;top_bjp_loss;top_inc_loss,110,yes
3,Karnataka,Hassan,seat_flip;top_bjp_loss;top_inc_gain,110,yes
4,Tamil Nadu,TIRUNELVELI,seat_flip;top_bjp_gain;top_inc_gain,110,yes
5,Uttar Pradesh,Bansgaon,top_inc_gain;closest_2024,90,yes
6,Rajasthan,JAIPUR RURAL,top_bjp_loss;closest_2024,90,yes
7,Maharashtra,Mumbai North West,top_inc_loss;closest_2024,90,yes
8,Andhra Pradesh,Thirupathi,top_bjp_gain;closest_2024,90,yes
9,Maharashtra,Baramati,seat_flip;major_constituency;top_bjp_loss,85,yes
10,Maharashtra,Mumbai South,seat_flip;major_constituency;top_inc_loss,85,yes
11,Punjab,Anandpur Sahib,seat_flip;closest_2024,80,yes
12,Maharashtra,Beed,seat_flip;closest_2024,80,yes
13,Chandigarh,Chandigarh,seat_flip;closest_2024,80,yes
14,Uttar Pradesh,Dhaurahra,seat_flip;closest_2024,80,yes
15,Maharashtra,Dhule,seat_flip;closest_2024,80,yes
16,Punjab,Firozpur,seat_flip;closest_2024,80,yes
17,Uttar Pradesh,Hamirpur,seat_flip;closest_2024,80,yes
18,Odisha,Jajpur,seat_flip;closest_2024,80,yes
19,Telangana,Mahbubnagar,seat_flip;closest_2024,80,yes
20,Rajasthan,NAGAUR,top_bjp_gain;top_inc_loss,80,yes
21,Uttar Pradesh,Salempur,seat_flip;closest_2024,80,yes
22,Tamil Nadu,ARANI,seat_flip;top_inc_loss,70,yes
23,Uttar Pradesh,Allahabad,seat_flip;top_inc_gain,70,yes
24,Uttar Pradesh,Amroha,seat_flip;top_inc_gain,70,yes
25,Andhra Pradesh,Anakapalle,seat_flip;top_bjp_gain,70,yes
26,Rajasthan,BARMER,seat_flip;top_bjp_loss,70,yes
27,Uttar Pradesh,Baghpat,seat_flip;top_bjp_loss,70,yes
28,Uttar Pradesh,Barabanki,seat_flip;top_inc_gain,70,yes
29,Maharashtra,Bhandara Gondiya,seat_flip;top_inc_gain,70,yes
30,Uttar Pradesh,Bijnor,seat_flip;top_bjp_loss,70,yes
31,Tamil Nadu,CUDDALORE,seat_flip;top_inc_gain,70,yes
32,Telangana,Chevella,seat_flip;top_bjp_gain,70,yes
33,Punjab,Faridkot,seat_flip;top_inc_loss,70,yes
34,Rajasthan,GANGANAGAR,seat_flip;top_bjp_loss,70,yes
35,Uttar Pradesh,Ghosi,seat_flip;top_bjp_loss,70,yes
36,Punjab,Gurdaspur,seat_flip;top_bjp_loss,70,yes
37,Maharashtra,Hingoli,seat_flip;top_inc_loss,70,yes
38,Punjab,Hoshiarpur,seat_flip;top_bjp_loss,70,yes
39,Maharashtra,Jalna,seat_flip;top_bjp_loss,70,yes
40,Assam,Kaziranga,seat_flip;top_bjp_gain,70,yes
41,Karnataka,Kolar,seat_flip;top_bjp_loss,70,yes
