election_type,state,constituency_id,constituency,district,district_role,mapping_confidence,notes,district_weight_estimate,overlap_method,source
lok_sabha,Andaman & Nicobar Islands,ANDAMAN_&_NICOBAR_ISLANDS__ANDAMAN_&_NICOBAR_ISLANDS,Andaman & Nicobar Islands,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__AMALAPURAM,Amalapuram,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__ANAKAPALLI,Anakapalli,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__ANANTAPUR,Anantapur,ANANTAPUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__ARUKU,Aruku,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__BAPATLA,Bapatla,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__CHITTOOR,Chittoor,CHITTOOR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__ELURU,Eluru,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__GUNTUR,Guntur,GUNTUR,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__HINDUPUR,Hindupur,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__KADAPA,Kadapa,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__KAKINADA,Kakinada,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__KURNOOL,Kurnool,KURNOOL,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__MACHILIPATNAM,Machilipatnam,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__NANDYAL,Nandyal,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__NARASARAOPET,Narasaraopet,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__NARSAPURAM,Narsapuram,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__NELLORE,Nellore,SRI POTTI SRIRAMULU NELLORE,partial,medium,Name overlap: constituency='NELLORE' district='SRI POTTI SRIRAMULU NELLORE',,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__ONGOLE,Ongole,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__RAJAHMUNDRY,Rajahmundry,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__RAJAMPET,Rajampet,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__SRIKAKULAM,Srikakulam,SRIKAKULAM,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__TIRUPATI,Tirupati,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__VIJAYAWADA,Vijayawada,,unknown,manual_needed,No automatic match — requires manual district assignment or future GIS overlap,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__VISAKHAPATNAM,Visakhapatnam,VISAKHAPATNAM,primary,high,Exact constituency/district name match,,,constituency_table_2019
lok_sabha,Andhra Pradesh,ANDHRA_PRADESH__VIZIANAGARAM,Vizianagaram,VIZIANAGARAM,primary,high,Exact constituency/district name match,,,constituency_table_2019
